Date;Map Thumb;Northern Areas;Southern Areas;Wind Speed;Wind Direction;Avalanche Activity;Notes
Sunday 3/31/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15;"S-SW
N Cooke";;
Saturday 3/30/19;NA;"0.0/1"" Brackett
0.1/1"" Shower
0.1/1"" Timber";"0.1/1"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-10;E-SE;"New snow instability-Blackmore;Snowmobile-triggered slab Northern Bridgers";
Friday 3/29/19;NA;"0.5/4"" Brackett
0.2/2"" Shower
0.5/5"" Timber";"0.2/2"" Carrot
0.2/2"" Madison
/ 
0.2/2"" Fisher";5-15;W-SW;;
Thursday 3/28/19;NA;"0.2/2"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20;NE (Bridger), W (N. Gall/Mad), S (LH, S. Mad);;
Wednesday 3/27/19;NA;"0.2/2"" Alpine
0.1/1"" Shower
0.0/0"" Timber";"0.1/1"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G30;SW;;
Tuesday 3/26/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G25-35;S-W;Skier triggered small wind slab;
Monday 3/25/19;NA;"0.1/1"" Alpine
0.2/3"" Shower
0.2/2"" Lone";"0.0/0"" Carrot
0.1/1"" Madison
/ 
0.4/6"" Fisher";5-15 G20;SSW;Long running loose slides in N. Madison;
Sunday 3/24/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15;ENE;"Yellow Mountain Wet Slab;Natural wet avalanche at Dudley Creek";
Saturday 3/23/19;NA;"0.0/0"" Brackett
0.1/1"" Shower
0.1/1"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20;W-SW;"Skier triggered wet slab N. Bridgers;Natural wet slab Blackmore";
Friday 3/22/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20;E-SE;;
Thursday 3/21/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Lionhead
/ 
0.0/0"" Fisher";10-20;E-SE;"Dry Slab, Loose Wet in Hyalite;Snowbike triggered wet slab, Sage Peak ;Wet slab on Sourdough trail";
Wednesday 3/20/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Lionhead
/ 
0.0/0"" Fisher";5-10;NE;Wet avalanche activity in the Bridgers;
Tuesday 3/19/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Lionhead
/ 
0.0/0"" Fisher";10-20 G20-30;W-N;;
Monday 3/18/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-10 G18;NW-NE;;
Sunday 3/17/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Lionhead
/ 
0.0/0"" Fisher";5-15 G25;SW-NW;;
Saturday 3/16/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-25;W;"Wet loose slides Bridgers and Big Sky;Snowmobile triggered outside advisory area";
Friday 3/15/19;NA;"0.1/3"" Bridger
0.1/1"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.1/1"" Madison
/ 
0.0/0"" Fisher";15-30;W-SW;"Dry loose slides in Hyalite;Cornice triggered slab near Big Sky";
Thursday 3/14/19;NA;"0.0/0"" Brackett
0.3/6"" Shower
0.1/1"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20;"N; W (Bridger & Hyalite)";Small dry loose avalanches Hyalite;
Wednesday 3/13/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-15;N-NE;;
Tuesday 3/12/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Lionhead
/ 
0.0/0"" Fisher";10-25 G20-35;S-W;Skier triggered slide NE of Beehive Peak;
Monday 3/11/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G30;W-SW;"Skier-Triggered wind slabs in the N. Bridgers;Small snowmobile-triggered W. side Fisher Mtn.";
Sunday 3/10/19;NA;"0.1/1"" Bridger
0.0/1"" Shower
0.1/0"" Timber";"0.0/0"" Carrot
0.3/3"" Madison
/ 
0.2/2"" Fisher";5-15 G25;SW;Large remotely triggered in Absaroka;
Saturday 3/9/19;NA;"0.1/1"" Brackett
0.2/2"" Shower
0.1/1"" Timber";"0.2/3"" Carrot
0.2/2"" Madison
/ 
0.1/1"" Fisher";5-15;W-NW;"Cracking and collapsing Buck Ridge;Loose snow and slab on Cedar;Old crowns near Mt. Wilson/Dudley;Skier trigger Deep slab Bear Basin";
Friday 3/8/19;NA;"0.3/3"" Brackett
0.1/1"" Shower
0.1/2"" Timber";"0.1/1"" Carrot
0.4/4"" Madison
/ 
0.5/5"" Fisher";10-20;W-SW;"Avalanches in new snow in Cooke City;Natural avalanches in Hyalite";
Thursday 3/7/19;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.1/1"" Timber";"0.3/3"" Carrot
0.4/4"" Madison
/ 
0.5/5"" Fisher";10-15 G30;SW;;
Wednesday 3/6/19;NA;"0.1/1"" Brackett
0.2/2"" Shower
0.3/3"" Lobo";"0.4/4"" Carrot
0.3/3"" Madison
/ 
0.3/3"" Fisher";10-20 G30;SE-SW (NE Bridger);Skier triggered avalanche on Mt. Blackmore;
Tuesday 3/5/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Lionhead
/ 
0.0/0"" Fisher";5-10 G20;"S-W 
NW Cooke";;
Monday 3/4/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"0-10 
G15";W-NW-N;;
Sunday 3/3/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"0-10
G15";"W-NW
ESE Bridger";"Y.C. explosive triggered slide;Loose snow and cornice fall Hyalite;Skier triggered wind slab Lick Cr;Small natural and skier triggered slides - Mt. Blackmore";
Saturday 3/2/19;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.2/3"" Timber";"0.1/1"" Carrot
0.0/0"" Madison
/ 
0.1/2"" Fisher";15-30;W-NW;"Large explosive triggered slide at Y.C.;Natural Saddle west side;Natural Avalanches Around Cooke City;Snowmobile triggered behind sage peak;Natural Avalanches in the Taylor Fork area;Natural Avalanches in Hyalite;Collapsing in the Northern Madison;Natural avalanches on Hardscrabble;Snowmobile Triggered- Cedar Mountain;Multiple Naturals, Fan Mountain;Natural Avalanches in Tepee Basin";
Friday 3/1/19;NA;"0.5/5"" Brackett
0.1/2"" Shower
0.3/4"" Timber";"0.4/4"" Carrot
0.5/5"" Madison
/ 
0.7/7"" Fisher";15-35;W-NW;"Multiple Naturals, Cooke City;Large Natural Avalanche, Wilson Peak northern Madison Range";Avalanche Warning: S. Madison, S. Gallatin, Lionhead, Centennials and Cooke
Thursday 2/28/19;NA;"0.8/6"" Brackett
0.3/3"" Shower
0.7/7"" Timber";"0.9/9"" Carrot
0.8/8"" Madison
/ 
1.1/10"" Fisher";10-20 G30-40;W-SW;"Avalanche across road at Quake Lake;Natural avalanches near the Throne;Large Natural Avalanche- Knowles Peak";Avalanche Warning: S. Madison, S. Gallatin, Lionhead, Centennials and Cooke
Wednesday 2/27/19;NA;"0.4/4"" Brackett
0.6/9"" Shower
0.7/8"" Timber";"0.9/10"" Carrot
1.2/12"" Madison
/ 
1.1/12"" Fisher";15-20 G35;SW (NE in Bridgers);Skier triggered slide north of Big Sky;Avalanche Warning: S. Madison, S. Gallatin, Lionhead, Centennials and Cooke
Tuesday 2/26/19;NA;"0.3/7"" Bridger
0.3/3"" Shower
0.6/6"" Lone";"1.7/17"" Carrot
2.0/20"" Madison
/ 
1.4/13"" Fisher";"25 G55
15 G25 in Bridgers";SW;Skier avalanche fatality on west side of Bridgers;"Avalanche Warning: S. Madison, S. Gallatin, Lionhead, Centennials and Cooke 

Avalanche fatality on west side of Bridger Range"
Monday 2/25/19;NA;"0.4/6"" Brackett
0.3/4"" Shower
0.6/6"" Lone";"1.3/12"" Carrot
2.2/21"" Madison
/ 
1.4/14"" Fisher";"20-30 
G40-50
5-15 Bridger";SW;"Natural Avalanche above Cooke City;Snowmobiler partially buried on Henderson Mtn.";Avalanche Warning: Lionhead and Centennials
Sunday 2/24/19;NA;"0.5/6"" Brackett
0.2/2"" Shower
0.3/3"" Timber";"0.4/4"" Carrot
0.3/6"" Lionhead
/ 
0.3/3"" Fisher";10-15 G25;"W-SW
W-NW Cooke";;
Saturday 2/23/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"15-25 
G 35 Hyalite";W-SW;;
Friday 2/22/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-20;W-NW;;
Thursday 2/21/19;NA;"0.4/15"" Bridger
0.2/2"" Shower
0.1/1"" Lobo";"0.1/1"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";5-15 G20;NW-NE;Skier triggered wind slab, Big Sky;
Wednesday 2/20/19;NA;"0.1/6"" Bridger
0.1/3"" Shower
0.1/1"" Timber";"0.2/2"" Carrot
0.1/2"" Madison
/ 
0.1/1"" Fisher";10-20 G 30;"W-SW
NW in Cooke";;
Tuesday 2/19/19;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.1/1"" Madison
/ 
0.0/0"" Fisher";10-20;"W-SW in north
S-SE in south";"Wind slab on Elephant;Partial Burial on Sheep Mtn.;Small, deep avalanche near Cooke City";
Monday 2/18/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.1/1"" Carrot
0.1/1"" Madison
/ 
0.0/0"" Fisher";0-10 G13;NE-E-SE;"Large Avalanche, Lionhead Range;Natural activity in Centennials";
Sunday 2/17/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.1/1"" Timber";"0.0/1"" Carrot
0.0/0"" Madison
/ 
0.1/3"" Fisher";15-20 G30;"W-SW
WNW Cooke";"Naturals on Ernie Miller;Snowmobile triggered Avalanche near Buck Ridge;Skier-triggered soft slabs in Hyalite;Avalanche on Crown Butte;Snowmobile-triggered avalanche on First Yellowmule;Large collapses in S. Gallatin";
Saturday 2/16/19;NA;"0.2/3"" Bridger
0.1/1"" Shower
0.2/3"" Timber";"0.2/2"" Carrot
0.3/3"" Madison
/ 
0.4/4"" Fisher";15-35;W-NW;"Skier-Triggered Avalanches at the Throne;Natural Avalanche near Cooke City;Small snowmobile triggered slide, Taylor Fork ;Natural Avalanche on Miller Ridge";
Friday 2/15/19;NA;"0.4/4"" Brackett
0.2/2"" Shower
0.5/6"" Timber";"0.5/5"" Carrot
0.6/6"" Madison
/ 
0.6/6"" Fisher";15-25;W-SW;"Deep slab on Henderson;Small fresh slabs near Cooke;Large natural avalanche, Taylor Fork;Natural activity in Beehive";Avalanche Warning Centennials
Thursday 2/14/19;NA;"0.2/2"" Brackett
0.3/3"" Shower
0.2/2"" Timber";"0.9/10"" Carrot
1.3/14"" Madison
/ 
1.0/12"" Fisher";15 G30-40;W-SW;Natural avalanche near Hellroaring Hut;Avalanche Warning for Lionhead, S. Gallatin, S. Madison and Centennial Mtns.
Wednesday 2/13/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.4/6"" Carrot
0.3/3"" Madison
/ 
0.4/4"" Fisher";20-30 G55;S-SW;;
Tuesday 2/12/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.4/3"" Madison
/ 
0.6/4"" Fisher";15-30 G30-45;SW-NW;Small natural avalanches near Cooke;
Monday 2/11/19;NA;"0.2/6"" Bridger
0.2/2"" Shower
0.2/4"" Lookout";"0.4/8"" Carrot
0.6/7"" Madison
/ 
0.2/3"" Fisher";15-25 G30;W-SW;;
Sunday 2/10/19;NA;"0.0/1"" Bridger
0.0/0"" Shower
0.1/0"" Lone";"0.2/2"" Carrot
0.2/4"" Lionhead
/ 
0.2/2"" Fisher";"10-15 G25
G47 Hyalite/ Big Sky";S-SE;Snowmobile Triggered Slide - Gravelly Range;
Saturday 2/9/19;NA;"0.3/3"" Brackett
0.0/0"" Shower
0.4/4"" Timber";"0.2/2"" Carrot
0.2/2"" Madison
/ 
0.1/1"" Fisher";"15-25 G35
5-15 Bridger";"S-SW
E @ Bridger";"Snowmobile triggered on Mt. Abundance;Skier triggered on Mt. Blackmore;Collapsing in Specimen Creek;Avalanches on Mt. Blackmore";
Friday 2/8/19;NA;"0.0/0"" Bridger
0.1/1"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G20-30;W-SW;;
Thursday 2/7/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/2"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20;W-N;"Cracking on wind slabs in Beehive;Snowmobiler caught and buried in Centennials";
Wednesday 2/6/19;NA;"0.2/2"" Brackett
0.1/1"" Shower
0.2/2"" Timber";"0.3/3"" Carrot
0.5/5"" Madison
/ 
0.3/3"" Fisher";5-25;W-NW;Snowmobile triggered at Lionhead;
Tuesday 2/5/19;NA;"0.1/2"" Bridger
0.1/1"" Shower
0.2/2"" Timber";"0.3/2"" Carrot
0.4/3"" Madison
/ 
0.3/5"" Fisher";10-15 G25;W-S;"Collapse south facing slope Taylor Fork ;Collapse, cracking, and avalanche in distance at Bacon Rind;Collapsing Cooke City, Pebble Creek ;Natural Avalanche on Sawtelle Peak;Natural avalanches at Lionhead";Avalanche Warning Centennials
Monday 2/4/19;NA;"0.4/5"" Brackett
0.3/3"" Shower
0.8/8"" Lone";"1.2/11"" Carrot
1.3/12"" Madison
/ 
1.0/10"" Fisher";15-25 G40-50;S-SW;;Avalanche Warning: Lionhead, Centennials, S. Madison, S. Gallatin
Sunday 2/3/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.2/2"" Lone";"0.3/3"" Carrot
0.5/4"" Madison
/ 
0.4/4"" Fisher";"15-30
G45 Hyalite
G50 Big sky";SW-SE;;Avalanche Warning Centennials
Saturday 2/2/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"25-45 
G 70 Lone Peak";W-SW;Snowmobile triggered near Daisy Pass;
Friday 2/1/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";15-35;W-SW;"Large collapse, Cooke City ;Multiple large avalanches in Centennials and Lionhead";
Thursday 1/31/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";20 G40;W;;
Wednesday 1/30/19;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Lookout";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";25 G30-40;W;;
Tuesday 1/29/19;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15 G25;W-NW;"Natural Avalanche on Cedar Mountain;Natural avalanches up Hyalite";
Monday 1/28/19;NA;"0.2/3"" Alpine
0.5/8"" Shower
0.1/3"" Lookout";"0.1/1"" Carrot
0.1/2"" Lionhead
/ 
0.2/3"" Fisher";"20-35 
G50-68";W-NW;"Natural Avalanche on Fan Mountain;Deep Slab Avalanche at Big Sky;Natural Avalanche on Sheep Mountain;Natural Avalanche Mt. Blackmore;Natural avalanches on Mt. Zimmer";
Sunday 1/27/19;NA;"0.0/0"" Brackett
0.1/1"" Shower
0.0/0"" Timber";"0.1/1"" Carrot
0.1/1"" Madison
/ 
0.1/1"" Fisher";"15-25 G35
30 G45 Bridger";NW-SW;"Remote Triggered at Sunlight Basin (Taylor Fork);Naturals, collapsing, propagating - Main Fork Hyalite;Natural slides near Emigrant;Remote triggered near Black Butte;Skier Triggered Avalanche Mt. Ellis;Big Natural Avalanches in the Bridgers;Cracking and Collapsing in Henry's Mountains;Natural Avalanche on the West Side, Bridgers;Natural Avalanches Beaver Creek";
Saturday 1/26/19;NA;"0.3/3"" Brackett
0.4/4"" Shower
0.3/3"" Lone";"0.2/2"" Carrot
0.1/1"" Madison
/ 
0.2/2"" Fisher";"30-50 mph north 
20-30 mph south";W-NW;"Large Deep Slab Avalanche at Big Sky;Lick Creek Avalanche;Avalanches, Poor Stability in Frazier;Northern Bridgers Avalanche;Cracking and Collapsing, Battle Ridge;Another Avalanche on Wheeler;Avalanches North of Bridger Bowl;Cracking and Collapsing near Ennis Lake;Hayden Creek Avalanche;Large Collapses in Deer Creek Drainage;Widespread Avalanching in Divide Drainage;Skier triggered near Bradley's meadow;Snowmobile triggered avalanche near Cedar;Large avalanche on low angle near Livingston";
Friday 1/25/19;NA;"0.2/3"" Brackett
0.4/4"" Shower
0.2/2"" Timber";"0.0/0"" Carrot
0.1/1"" Madison
/ 
0.2/2"" Fisher";"10-30
G 40 Bridger";W-NW;"Avalanche Fatality, Tobacco Roots ;Natural avalanche Saddle Peak (possibly human triggered)";Avalanche fatality in Tobacco Root Mountains
Thursday 1/24/19;NA;"1.3/10"" Alpine
0.8/8"" Shower
0.6/10"" Lone";"0.6/10"" Carrot
0.6/6"" Lionhead
/ 
0.6/6"" Fisher";10 G20-30;W-NW;"Big Avalanches on west side of Bridgers;New snow instabilities in Hyalite;Collapsing at History Rock;Cracking and collapsing, main fork Hyalite";
Wednesday 1/23/19;NA;"0.3/5"" Bridger
0.3/3"" Shower
0.1/3"" Timber";"0.3/3"" Carrot
0.3/5"" Madison
/ 
0.2/3"" Fisher";"20-30 G48 in north
10-15 G25 in south";W-S;"Cracking and Collapsing up Lick Creek;Many collapses and cracks in Specimen Ck";
Tuesday 1/22/19;NA;"0.1/1"" Brackett
0.3/3"" Shower
0.2/5"" Timber";"0.2/2"" Carrot
0.1/1"" Whiskey
/ 
0.1/1"" Fisher";5-15 G25;W-NW;"Natural avalanches Bridger pk. through Pinnacles;Cracking wind drifts on Mt Blackmore;Natural avalanche on Football Field;Skier triggered avalanche in Beehive Basin;Collapsing at Bacon Rind;Snowmobiler triggred slide near Two Top;Small avalanche north of Bridger Bowl";
Monday 1/21/19;NA;"0.4/4"" Brackett
0.3/5"" Shower
0.5/7"" Lone";"0.6/6"" Carrot
1.0/9"" Black Bear
/ 
1.1/9"" Fisher";5-15 G40-50;W-SW;"Ice climber triggered slide in Hyalite;Natural avalanches on Mt. Republic;Remotely triggered avalanche on Wheeler Mountain";
Sunday 1/20/19;NA;"1.1/7"" Alpine
0.3/4"" Shower
0.2/2"" Lone";"0.5/5"" Carrot
0.4/4"" Madison
/ 
0.4/5"" Fisher";15-25 G35;"WSW
NW Big Sky";"Avalanche and cracking, Cooke City;Natural avalanche in Argentina Bowl;Skier/cornice triggered south summit of Saddle Peak;Skier triggered in Frazier Basin;Large natural on NE face of Saddle Peak;Collapsing in southern Madison;Cracking and whumphing, Lick Ck;Cracking and whumphing in Sunlight Basin";
Saturday 1/19/19;NA;"0.2/2"" Brackett
0.1/1"" Shower
0.1/1"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";15-30;W-SW;Skier triggered slides on Saddle Peak;
